EnzymePW	ApprovedEnzymeName	E.C.number	Uniprot	Ensembl	RheaID	CHEBIID	Km	Kcat	Kcat/Km	pH	Temperature	AdditionalConditions	Organism	PMID	Database
Glutaryl-CoA dehydrogenase Second reaction	-	1.3.8.6	Q92947	ENSG00000105607	RHEA:47429	24311	0.0026	9	3,5	7,6	25	10 mM potassium phosphate	Homo sapiens	11024031	Sabio
L-2-hydro-yglutarate dehydrogenase	-	1.1.99.2	Q9H9P8 	-	RHEA:21253	17084	0.8	-	-	7	37	-	Homo sapiens	16005139	Brenda
L-2-hydro-yglutarate dehydrogenase	-	1.1.99.2	Q9H9P8 	-	RHEA:21254	17084	1.7	-	-	7,2	-	reaction with alpha-o-oglutarate and NADH 	Alcaligenes sp. 	- 	Brenda
D-2-hydro-yglutarate dehydrogenase	-	1.1.99.39	Q8N465	-	RHEA:21255	17084	584	0,8	1,37	8,75	25	cofactor o-idized 2,6-dichlorophenolindophenol 	Arabidopsis thaliana	19586914	Brenda
Isocitrate dehydrogenase 2	-	1.1.1.42	P48735	ENSG00000182054	RHEA:49614	30915	17	-	-	7	-	mitochondrial isozyme; reverse reaction	Pisum sativum	14507432	Brenda 
Isocitrate dehydrogenase 2	-	1.1.1.42	P48735	ENSG00000182054	RHEA:49615	30915	26	-	-	7	-	mitochondrial isozyme; reverse reaction	Pisum sativum	14507432	Brenda
Isocitrate dehydrogenase 2	-	1.1.1.42	P48735	ENSG00000182054	RHEA:49616	30915	0.13	-	-	-	-	-	Sus scrofa	- 	Brenda
Isocitrate dehydrogenase 2	-	1.1.1.42	P48735	ENSG00000182054	RHEA:49617	30915	0.2	-	-	-	-	Isozyme IDP2	Saccharomyces cerevisiae	15001388	Brenda
Isocitrate dehydrogenase 2	-	1.1.1.42	P48735	ENSG00000182054	RHEA:49618	30915	304	-	-	6,5	-	reverse reaction	Chlorobium limicola	- 	Brenda
Isocitrate dehydrogenase 2	-	1.1.1.42	P48735	ENSG00000182054	RHEA:49619	30915	398	-	-	6,5	-	reverse reaction	Rhoopseudomonas palustris	- 	Brenda
Isocitrate dehydrogenase 2	-	1.1.1.42	P48735	ENSG00000182054	RHEA:49620	30915	1.1	-	-	7	-	Recombinant enzyme	Chlorobium limicola	- 	Brenda
Isocitrate dehydrogenase 2	-	1.1.1.42	P48735	ENSG00000182054	RHEA:49621	30915	1.92	-	-	-	-	Isozyme IDP2	Saccharomyces cerevisiae	15001388	Brenda
Antiquitin	-	1.2.1.3	P49419	ENSG00000164904	-	61511	17	-	-	-	-	at substrate concentrations 0-0,07 mM 	Homo sapiens	224930	Brenda
Hydroxyacid oxoacid transhydrogenase	-	1.1.99.24	Q8IWW8 	-	RHEA:49614	30915	77	-	-	-	-	0,009 mM; in overexpressed HEK cells; in presence of 0,1 mM 4-hydroxybutyrate 	Homo sapiens	16616524	Brenda
Hydroxyacid oxoacid transhydrogenase	-	1.1.99.24	Q8IWW8 	-	RHEA:49615	30915	18	-	-	-	-	-	Rattus norvegicus	3182820	Brenda
Hydroxyacid oxoacid transhydrogenase	-	1.1.99.24	Q8IWW8 	-	RHEA:49616	30915	77	-	-	7,1	-	Recombinant enzyme	Mus musculus	16616524	Brenda
Hydroxyacid oxoacid transhydrogenase	-	1.1.99.24	Q8IWW8 	-	RHEA:49617	30915	85	-	-	7,1	30	0,007 mM	Rattus norvegicus	16616524	Brenda
L malic acid dehydrogenase	-	1.1.1.37	P40926	-	RHEA:21253	17084	-	-	-	7,4	-	-	Homo sapiens	- 	-
L malic acid dehydrogenase	-	1.1.1.38	P23368	-	RHEA:21254	17084	1.4	26	-	7,4	30	in vitro; wildtype; different concentration	Homo sapiens	15182181	Sabio
L malic acid dehydrogenase	-	1.1.1.38	P23368	-	RHEA:21255	17084	130	26	-	7,4	30	in vitro; wildtype; different concentration	Homo sapiens	15182181	Sabio
L malic acid dehydrogenase	-	1.1.1.38	P23368	-	RHEA:21256	17084	6.4	26	-	7,4	30	in vitro; wildtype; different concentration	Homo sapiens	15182181	Sabio
