EnzymePW	ApprovedEnzymeName	ECnumber	Uniprot	Ensembl	RheaID	CHEBIID	Km	Kcat	Kcat/Km	pH	Temperature	AdditionalConditions	Species	PMID	Database
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:50245	16581	-	"0,0037"	-	"7,4"	37C	-	Homo sapiens	28684414	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:50246	16581	-	"0,11"	-	"7,4"	37C	presence of cytochrome b5	Homo sapiens	28684414	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:46309	17026	"0,00045"	-	-	-	-	-	Homo sapiens	9726253	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:46310	17026	"0,0011"	-	-	"7,4"	37C	-	Homo sapiens	28684414	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:46311	17026	"0,00196"	-	-	"7,4"	37C	-	Homo sapiens	25301938	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:46312	17026	"0,0023"	-	-	-	-	-	Homo sapiens	4854454	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:46313	17026	"0,0043"	-	-	"7,4"	37C	-	Homo sapiens	28684414	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:46314	17026	"0,0053"	-	-	"7,4"	37C	-	Homo sapiens	28684414	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:46315	17026	"0,0063"	-	-	-	-	-	Homo sapiens	8396144	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:46316	17026	"0,0097"	-	-	"7,4"	37C	-	Homo sapiens	28684414	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:46317	17026	"0,0105"	-	-	"7,4"	37C	-	Homo sapiens	25301938	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:46318	17026	-	-	"4,7"	"7,4"	37C	-	Homo sapiens	28684414	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:46319	17026	-	-	"5,8"	"7,4"	37C	-	Homo sapiens	28684414	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:46320	17026	-	-	"8,9"	"7,4"	37C	-	Homo sapiens	28684414	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:46321	17026	-	-	40	"7,4"	37C	-	Homo sapiens	28684414	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:46322	17026	-	"0,0064"	-	"7,4"	37C	-	Homo sapiens	28684414	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:46323	17026	-	"0,017"	-	"7,4"	37C	-	Homo sapiens	25301938	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:46324	17026	-	"0,025"	-	"7,4"	37C	-	Homo sapiens	28684414	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:46325	17026	-	"0,0483"	-	-	-	-	Homo sapiens	8396144	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:46326	17026	-	"0,086"	-	"7,4"	37C	-	Homo sapiens	28684414	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:46309	17026	-	"0,17"	-	"7,4"	37C	-	Homo sapiens	28684414	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:14754	17252	"0,000525"	-	-	-	-	-	Rattus norvegicus	8918985	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:14755	17252	"0,0024"	-	-	-	-	-	Sus scrofa	6971291	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:14756	17252	"0,0025"	-	-	-	-	-	Sus scrofa	6608525	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:50245	28750	"0,0004"	-	-	-	-	-	Homo sapiens	10406467	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:50246	28750	"0,00056"	-	-	-	-	-	Homo sapiens	10406467	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:50247	28750	"0,0008"	-	-	-	-	-	Homo sapiens	10406467	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:50248	28750	-	"0,00283"	-	-	-	-	Homo sapiens	8396144	Brenda
P450c21 	steroid 21-monooxygenase	1.14.14.16	-	ENSG00000231852	A C(21) steroid + [reduced NADPH--hemoprotein reductase] + O(2) = a 21-hydroxy-C(21)-steroid + [oxidized NADPH--hemoprotein reductase] + H(2)O	17026	"0,00021"	-	-	"7,4"	37C	-	Homo sapiens	25855791	Brenda
P450c21 	steroid 21-monooxygenase	1.14.14.16	-	ENSG00000231852	A C(21) steroid + [reduced NADPH--hemoprotein reductase] + O(2) = a 21-hydroxy-C(21)-steroid + [oxidized NADPH--hemoprotein reductase] + H(2)O	17026	"0,00021"	-	-	-	-	-	Homo sapiens	28539365	Brenda
P450c21 	steroid 21-monooxygenase	1.14.14.16	-	ENSG00000231852	A C(21) steroid + [reduced NADPH--hemoprotein reductase] + O(2) = a 21-hydroxy-C(21)-steroid + [oxidized NADPH--hemoprotein reductase] + H(2)O	17026	"0,0011"	-	-	"7,4"	37C	-	Homo sapiens	21446712	Brenda
P450c21 	steroid 21-monooxygenase	1.14.14.16	-	ENSG00000231852	A C(21) steroid + [reduced NADPH--hemoprotein reductase] + O(2) = a 21-hydroxy-C(21)-steroid + [oxidized NADPH--hemoprotein reductase] + H(2)O	17026	"6,4"	-	-	-	37C	-	Homo sapiens	15126570	Brenda
P450c21 	steroid 21-monooxygenase	1.14.14.16	-	ENSG00000231852	A C(21) steroid + [reduced NADPH--hemoprotein reductase] + O(2) = a 21-hydroxy-C(21)-steroid + [oxidized NADPH--hemoprotein reductase] + H(2)O	17026	-	"2,8"	13330	"7,4"	37C	-	Homo sapiens	25855791	Brenda
P450c21 	steroid 21-monooxygenase	1.14.14.16	-	ENSG00000231852	A C(21) steroid + [reduced NADPH--hemoprotein reductase] + O(2) = a 21-hydroxy-C(21)-steroid + [oxidized NADPH--hemoprotein reductase] + H(2)O	17026	-	"2,8"	13333	-	-	-	Homo sapiens	28539365	Brenda
P450c21 	steroid 21-monooxygenase	1.14.14.16	-	ENSG00000231852	A C(21) steroid + [reduced NADPH--hemoprotein reductase] + O(2) = a 21-hydroxy-C(21)-steroid + [oxidized NADPH--hemoprotein reductase] + H(2)O	17252	"2,3"	-	-	-	37C	mutant P482S	Homo sapiens	15126570	Brenda
P450c21 	steroid 21-monooxygenase	1.14.14.16	-	ENSG00000231852	A C(21) steroid + [reduced NADPH--hemoprotein reductase] + O(2) = a 21-hydroxy-C(21)-steroid + [oxidized NADPH--hemoprotein reductase] + H(2)O	17252	"8,5"	-	-	-	37C	wild-type	Homo sapiens	15126570	Brenda
P450c21 	steroid 21-monooxygenase	1.14.14.16	-	ENSG00000231852	A C(21) steroid + [reduced NADPH--hemoprotein reductase] + O(2) = a 21-hydroxy-C(21)-steroid + [oxidized NADPH--hemoprotein reductase] + H(2)O	17252	"9,2"	-	-	-	37C	mutant A15T	Homo sapiens	15126570	Brenda
P450c21 	steroid 21-monooxygenase	1.14.14.16	-	ENSG00000231852	A C(21) steroid + [reduced NADPH--hemoprotein reductase] + O(2) = a 21-hydroxy-C(21)-steroid + [oxidized NADPH--hemoprotein reductase] + H(2)O	17252	-	4	2667	"7,4"	37C	-	Homo sapiens	25855791	Brenda
P450c21 	steroid 21-monooxygenase	1.14.14.16	-	ENSG00000231852	A C(21) steroid + [reduced NADPH--hemoprotein reductase] + O(2) = a 21-hydroxy-C(21)-steroid + [oxidized NADPH--hemoprotein reductase] + H(2)O	17252	-	4	2667	-	-	-	Homo sapiens	28539365	Brenda
P450c11	steroid 11beta-monooxygenase	1.14.15.4	-	ENSG00000160882	RHEA:15630	16973	"0,18"	"0,85"	-	"7,4"	-	recombinant enzyme	Homo sapiens	18215163	Brenda
P450c11	steroid 11beta-monooxygenase	1.14.15.4	-	ENSG00000160882	RHEA:15631	28324	"0,338"	"0,167"	-	"7,4"	-	recombinant enzyme	Homo sapiens	18215163	Brenda
H6PD	glucose 1-dehydrogenase	1.1.1.47	-	ENSG00000049239	RHEA:15842	18009	"0,0036"	-	-	"7,5"	37C	-	Sus scrofa	6641908	Brenda
H6PD	glucose 1-dehydrogenase	1.1.1.47	-	ENSG00000049239	RHEA:15843	18009	"0,0046"	-	-	10	37C	-	Sus scrofa	6641908	Brenda
H6PD	glucose 1-dehydrogenase	1.1.1.47	-	ENSG00000049239	RHEA:15844	18009	"0,062"	-	-	"9,5"	30C	-	Bos taurus	7092232	Brenda
11-beta-HSD1	11beta-hydroxysteroid dehydrogenase type 1	1.1.1.146	-	ENSG00000117594	RHEA:11390	16962	"0,0003"	-	-	"7,4"	37C	-	Homo sapiens	12397058	Brenda
11-beta-HSD1	11beta-hydroxysteroid dehydrogenase type 1	1.1.1.146	-	ENSG00000117594	RHEA:11391	16962	"0,00034"	-	-	"7,4"	37C	-	Homo sapiens	15152005	Brenda
11-beta-HSD1	11beta-hydroxysteroid dehydrogenase type 1	1.1.1.146	-	ENSG00000117594	RHEA:11392	16962	"0,0006"	-	-	"7,4"	37C	-	Homo sapiens	12460758	Brenda
11-beta-HSD1	11beta-hydroxysteroid dehydrogenase type 1	1.1.1.146	-	ENSG00000117594	RHEA:11393	16962	"0,0008"	-	-	"7,4"	37C	-	Homo sapiens	12397058	Brenda
11-beta-HSD1	11beta-hydroxysteroid dehydrogenase type 1	1.1.1.146	-	ENSG00000117594	RHEA:11394	16962	"0,002"	-	-	"7,4"	37C	-	Homo sapiens	12397058	Brenda
11-beta-HSD1	11beta-hydroxysteroid dehydrogenase type 1	1.1.1.146	-	ENSG00000117594	RHEA:11395	16962	"0,0044"	-	-	"7,4"	28C	-	Homo sapiens	17825335	Brenda
11-beta-HSD1	11beta-hydroxysteroid dehydrogenase type 1	1.1.1.146	-	ENSG00000117594	RHEA:11396	16962	"0,009"	-	-	"7,4"	37C	-	Homo sapiens	12397058	Brenda
11-beta-HSD1	11beta-hydroxysteroid dehydrogenase type 1	1.1.1.146	-	ENSG00000117594	RHEA:11397	16962	"0,014"	-	-	"7,4"	37C	-	Homo sapiens	11841241	Brenda
11-beta-HSD1	11beta-hydroxysteroid dehydrogenase type 1	1.1.1.146	-	ENSG00000117594	RHEA:11398	16962	-	"0,4"	-	"7,4"	37C	-	Homo sapiens	12397058	Brenda
11-beta-HSD2	11beta-hydroxysteroid dehydrogenase type 2	1.1.1.B40	-	ENSG00000176387	RHEA:53117	17650	"0,0002"	-	-	"7,4"	37C	-	Felis catus	14732482	Brenda
11-beta-HSD2	11beta-hydroxysteroid dehydrogenase type 2	1.1.1.B40	-	ENSG00000176387	RHEA:53118	17650	"0,00038"	-	-	"7,4"	34C	-	Sus scrofa	17942303	Brenda
11-beta-HSD2	11beta-hydroxysteroid dehydrogenase type 2	1.1.1.B40	-	ENSG00000176387	RHEA:53119	17650	"0,00136"	-	-	"7,4"	34C	-	Sus scrofa	17942303	Brenda
5-alpha-reductase 2	3-oxo-5alpha-steroid 4-dehydrogenase	1.3.99.5	-	ENSG00000277893	RHEA:54385	17347	"0,000054"	-	-	"7,4"	37C	-	Homo sapiens	20823678	Brenda
5-alpha-reductase 2	3-oxo-5alpha-steroid 4-dehydrogenase	1.3.99.5	-	ENSG00000277893	RHEA:54386	17347	"0,0004"	-	-	-	-	-	Homo sapiens	20170668	Brenda
5-alpha-reductase 2	3-oxo-5alpha-steroid 4-dehydrogenase	1.3.99.5	-	ENSG00000277893	RHEA:54387	17347	"0,01"	-	-	-	-	-	Homo sapiens	20170668	Brenda
17-beta-HSD3	3 or 17 beta-hydroxysteroid dehydrogenase	1.1.1.51	-	ENSG00000130948	RHEA:14983	16422	-	-	-	-	-	-	-	-	Unknown
P450Aro	P450 aromatase	-	-	ENSG00000137869	-	-	-	-	-	-	-	-	-	-	Unknown
Cytochrome b5	Ligand cytochrome b5	-	J3KNC7	-	-	-	-	-	-	-	-	-	-	-	Unknown
