EnzymePW	ApprovedEnzymeName	E.C.number	Uniprot	Ensembl	RheaID	CHEBIID	SusbtrateName	Km (mM)	Kcat (s-1)	Kcat/Km (M-1s-1)	pH	Temperature (Celcius)	AdditionalConditions	Organism	PMID	Database
Pyruvate carboxylase	Pyruvate carboxylase	EC:6.4.1.1 	P11498	-	20845	CHEBI:15361	pyruvate	0.5	60	-	7.8	30	-	Saccharomyces cerevisiae	17478118	Brenda 
Phosphoenolpyruvate carboxykinase	Phosphoenolpyruvate carboxykinase	EC:4.1.1.32 	P35558 	-	10389	CHEBI:16452	oxaloacetate	0.217	-	-	-	-	-	Homo sapiens 	19021757	Brenda 
L-serine dehydratase	L-serine dehydratase	EC:4.3.1.17	P20132	-	19170	CHEBI:33384	L-serine	67.3	-	-	-	37	hSDH	Homo sapiens 	16580895	Brenda 
L-serine dehydratase	L-serine dehydratase	EC:4.3.1.17	P20132	-	19170	CHEBI:33384	L-serine	23	79	3500	8.3	-	hSDH	Homo sapiens 	18342636	Sabio-Rk
Fructose-bisphosphate aldolase B		EC:4.1.2.13	P05062	-	30852	CHEBI:138881	fructose 1-phosphate	3.7	10.8	-	-	-	Temperature and PH range	Homo sapiens 	7982900	Brenda 
GK	Glycerol kinase	EC:2.7.1.30		-	21645	CHEBI:17754	Glycerol	0.111	-	-	7.35	37	-	Rattus norvegicus	 9606984	Brenda 
GPD1	Glycerol-3-phosphate dehydrogenase	EC:1.1.1.8 	P21695	-	11094	CHEBI:57642	DHAP	0.052	240	4600	7.5	25	-	Homo sapiens 	26926520	Brenda 
Phosphoglycerate kinase 1	Phosphoglycerate kinase 1	EC:2.7.2.3	P00558	-	14802	CHEBI:58272	(2R)-3-phosphoglycerate	0.4	89.8	224.5	8.0	37	-	Homo sapiens 	29995887	Brenda 
Phosphoglycerate kinase 1	Phosphoglycerate kinase 1	EC:2.7.2.3		-	14802	CHEBI:58272	(2R)-3-phosphoglycerate	1.65	-	-	7.4	25	liver enzzyme 	Rattus norvegicus	4203909	Brenda 
GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	EC:1.2.1.12	P04406	-	10301	CHEBI:59776	Glyceraldehyde-3-P	0.27	-	-	8.9	20	-	Homo sapiens 		Brenda 
Triosephosphate isomerase	Triosephosphate isomerase	EC:5.3.1.1	P60174	-	18586	CHEBI:59776	Glyceraldehyde-3-P	0.4	-	-	7.9	-	-	Homo sapiens 	1168838	Sabio-Rk
Triosephosphate isomerase	Triosephosphate isomerase	EC:5.3.1.1	P60174	-	18587	CHEBI:57642	DHAP	0.59	-	-	7.9	-	-	Homo sapiens 	1168838	Sabio-Rk
Triosephosphate isomerase	Triosephosphate isomerase	EC:5.3.1.1	P60174	-	18586	CHEBI:59776	Glyceraldehyde-3-P	-	-	18.6	7	37	Tissue: erythrocyte 	Homo sapiens 	11698297	Sabio-Rk
Aldolase	Fructose-bisphosphate aldolase A	EC:4.1.2.13	P04075	-	14730	CHEBI:32966	?-D-fructose 1,6-bisphosphate	0.0519	16.7	321.77	7.4	30	-	Homo sapiens 	14766013	Brenda 
Fructose-1,6-bisphosphatase 1	Fructose-1,6-bisphosphatase 1	EC:3.1.3.11	P09467	-	11065	CHEBI:32966	?-D-fructose 1,6-bisphosphate	0.0021	20.8	-	7.5	37	-	Homo sapiens 	16213487	Brenda 
Glucose-6-phosphate isomerase	Glucose-6-phosphate isomerase	EC:5.3.1.9	P06744	-	11818	CHEBI:57634	?-D-fructose 6-phosphate	0.037	650	-	7.5	30	Recombinant wild-type enzyme 	Homo sapiens 	19064002	Brenda 
Glucose-6-phosphate isomerase	Glucose-6-phosphate isomerase	EC:5.3.1.9	P06744	-	11817	CHEBI:58225	?-D-glucose 6-phosphate	-	1000	-	7.5	30	Recombinant wild-type enzyme 	Homo sapiens 	19064002	Brenda 
Glucose-6-phosphatase	Glucose-6-phosphatase catalytic subunit 1	EC:3.1.3.9 	P35575	-	44905	CHEBI:58225	?-D-glucose 6-phosphate	0.431	41	96	6.5	30	-	Mus musculus	34952005	Brenda 
Glucose-6-phosphatase	Glucose-6-phosphatase catalytic subunit 1	EC:3.1.3.9 	P35575	-	44905	CHEBI:58225	?-D-glucose 6-phosphate	2	-	-	6.5	37	-	Homo sapiens 	6291517	Sabio-Rk
Hexokinase-1	Hexokinase-1	EC:2.7.1.1	P19367 	-	36496	CHEBI:17925	Glucose	0.057	-	-	7.8	-	-	Homo sapiens 	10387081	Brenda 
Hexokinase-1	Hexokinase-1	EC:2.7.1.1	P19367 	-	36496	CHEBI:17925	Glucose	0.047	-	-	7.2	37	-	Homo sapiens 	4027385	Sabio-Rk
